Frame,DroneE,DroneN,RGVE,RGVN
294,-8.02780933663911,-5.442070964606566,0,0
295,-8.02780933663911,-5.442070964606566,0,0
296,-8.113211565129669,-5.442070874386711,0,0
297,-8.113211565129669,-5.442070874386711,0,0
298,-8.113211565129669,-5.442070874386711,0,0
299,-8.198613791394083,-5.442070783156199,0,0
300,-8.198613791394083,-5.442070783156199,0,0
301,-8.198613791394083,-5.442070783156199,0,0
302,-8.284016139396917,-5.553133448997759,0,0
303,-8.284016139396917,-5.553133448997759,0,0
304,-8.284016139396917,-5.553133448997759,0,0
305,-8.369418367110345,-5.5531333549180815,0,0
306,-8.369418367110345,-5.5531333549180815,0,0
307,-8.369418367110345,-5.5531333549180815,0,0
308,-8.454820595722325,-5.553133260995841,0,0
309,-8.454820595722325,-5.553133260995841,0,0
310,-8.454820595722325,-5.553133260995841,0,0
311,-8.54022282302695,-5.553133165603315,0,0
312,-8.54022282302695,-5.553133165603315,0,0
313,-8.54022282302695,-5.553133165603315,0,0
314,-8.625625178645215,-5.664195828356401,0,0
315,-8.625625178645215,-5.664195828356401,0,0
316,-8.625625178645215,-5.664195828356401,0,0
317,-8.71102740737862,-5.664195730731775,0,0
318,-8.71102740737862,-5.664195730731775,0,0
319,-8.71102740737862,-5.664195730731775,0,0
320,-8.88183186604956,-5.6641955332110605,0,0
321,-8.88183186604956,-5.6641955332110605,0,0
322,-8.88183186604956,-5.6641955332110605,0,0
323,-8.967234226547125,-5.775258191854176,0,0
324,-8.967234226547125,-5.775258191854176,0,0
325,-8.967234226547125,-5.775258191854176,0,0
326,-9.052636456770017,-5.775258090146256,0,0
327,-9.052636456770017,-5.775258090146256,0,0
328,-9.052636456770017,-5.775258090146256,0,0
329,-9.138038822351282,-5.886320746762475,0,0
330,-9.138038822351282,-5.886320746762475,0,0
331,-9.138038822351282,-5.886320746762475,0,0
332,-9.2234410535132,-5.886320643977864,0,0
333,-9.2234410535132,-5.886320643977864,0,0
334,-9.2234410535132,-5.886320643977864,0,0
335,-9.308843421666673,-5.997383299725026,0,0
336,-9.308843421666673,-5.997383299725026,0,0
337,-9.308843421666673,-5.997383299725026,0,0
338,-9.394245791248924,-6.108445952526762,0,0
339,-9.394245791248924,-6.108445952526762,0,0
340,-9.394245791248924,-6.108445952526762,0,0
341,-9.479648025901835,-6.108445846630153,0,0
342,-9.479648025901835,-6.108445846630153,0,0
343,-9.479648025901835,-6.108445846630153,0,0
344,-9.5650504012417,-6.219508497166409,0,0
345,-9.5650504012417,-6.219508497166409,0,0
346,-9.5650504012417,-6.219508497166409,0,0
347,-9.650452777295953,-6.330571148726587,0,0
348,-9.650452777295953,-6.330571148726587,0,0
349,-9.650452777295953,-6.330571148726587,0,0
350,-9.735855156331217,-6.441633798590581,0,0
351,-9.735855156331217,-6.441633798590581,0,0
352,-9.735855156331217,-6.441633798590581,0,0
